protein_id,mbl_avg,mbl_max,mbl_min,sim_lin_avg,sim_lin_max,sim_lin_min,sim_resnik_avg,sim_resnik_max,sim_resnik_min,sim_schlicker_avg,sim_schlicker_max,sim_schlicker_min,sim_wang_avg,sim_wang_max,sim_wang_min
AL1A1_HUMAN,6.9,12.0,1.0,0.028285024596110455,0.8233736110183882,0.0,0.21937110989824554,6.462444262326773,0.0,0.02533146257826792,0.8220883448938717,0.0,0.07764202592366387,0.8767343963496025,0.0
PTTG1_HUMAN,4.0,5.0,2.0,0.0017689416783294258,0.0065357093884471406,0.0,0.002957510089277094,0.00985836696425698,0.0,1.7353198561171602e-05,6.411486831094696e-05,0.0,0.12334465287346345,0.5901639344262295,0.0
MOC2B_HUMAN,6.142857142857143,12.0,1.0,0.04727452206392456,0.9739447716100539,0.0,0.3622724082529637,7.578145472419466,0.0,0.046363391188228506,0.9734465901411997,0.0,0.11257459676301552,0.8737577765209665,0.0
DYR_HUMAN,9.153846153846153,18.0,1.0,0.08023940004028388,0.9161984456794349,0.0,0.6153383187968812,7.578145472419466,0.0,0.07737609663650849,0.915729801973205,0.0,0.07597529550232755,0.8581737315058545,0.0
AATM_HUMAN,12.153846153846153,17.0,2.0,0.026879064976294,0.6817959437292672,0.0,0.214058803877764,5.541263545158426,0.0,0.02387334427737918,0.6791222341460152,0.0,0.05554254242549703,0.6742594059270907,0.0
CERU_HUMAN,5.0,8.0,1.0,0.09166297145316235,1.0,0.0,0.6550618847540243,7.4432735153384995,0.0,0.0893961790996048,0.9994146341463415,0.0,0.12666384411374704,0.8581737315058546,0.0
EGFR_HUMAN,7.896419437340153,17.0,1.0,0.050987124352550296,0.9911513649796575,0.0,0.23100654958575584,5.681025487533585,0.0,0.035135201910183565,0.9710410474293456,0.0,0.09440630238192603,0.918056532758717,0.0
ADA_HUMAN,9.236842105263158,18.0,1.0,0.052610103071814504,0.9881135561137263,0.0,0.3880189053707707,8.271292652979412,0.0,0.04803650777143235,0.9876081271847679,0.0,0.082328062764286,0.8145400593471811,0.0
KAD1_HUMAN,3.0,3.0,3.0,0.27269929831506917,0.8180978949452076,0.0,1.8932283076923804,5.679684923077141,0.0,0.27176812997935923,0.8153043899380776,0.0,0.24212251229000661,0.7263675368700199,0.0
THRB_HUMAN,10.267605633802816,19.0,1.0,0.06428545248078456,0.9702699613381504,0.0,0.40751741339748593,6.730847612032263,0.0,0.05329126440945464,0.9665476980593595,0.0,0.07979135578787822,0.9616964841662463,0.0
CRYAA_HUMAN,5.2631578947368425,12.0,2.0,0.01178543732122452,0.3001534950357252,0.0,0.0469670926259415,1.3447156197566865,0.0,0.006372918249283676,0.22192934888702853,0.0,0.09242334968609531,0.6612466124661246,0.0
B3AT_HUMAN,6.818181818181818,11.0,1.0,0.05801482763973677,0.9356696781541999,0.0,0.34102738320010123,6.290594005400114,0.0,0.054245888052211304,0.9339352660678653,0.0,0.07577177564117747,0.6326009443962609,0.0
CRYAB_HUMAN,6.771929824561403,17.0,1.0,0.04428973685470948,0.9018541639374648,0.0,0.17506309115522195,3.39609532977826,0.0,0.030132287623636067,0.8381938700124673,0.0,0.0893698541493955,0.7469635627530365,0.0
CAH2_HUMAN,5.5,12.0,2.0,0.006563587596060367,0.13853411640361982,0.0,0.044388122417776926,1.0330986333723322,0.0,0.003269031021231784,0.08922948648748273,0.0,0.10555693933367236,0.5901639344262295,0.0
